Symbol,Price,Change,Score,RSI,Trend,Delivery%,DMA Dist,Setup,SL,Target,Qty,Flags
RAIN,₹187.51,-2.7%,5/10,46,BULL,0%,+26.8%,"BB Squeeze, EMA Pullback",₹171.24,₹220.05,307,Bull Trend | Weekly Bull | RSI 46
ADANIPOWER,₹230.05,+0.1%,5/10,54,BULL,0%,+31.9%,EMA Pullback,₹219.51,₹251.13,474,Bull Trend | Weekly Bull | RSI 54
ADANIENT,₹3077.40,+0.3%,5/10,66,BULL,0%,+25.9%,Trend Following,₹2962.95,₹3306.3,43,Bull Trend | Weekly Bull | RSI 66
ADANIPORTS,₹1820.10,+0.4%,5/10,53,BULL,0%,+16.7%,EMA Pullback,₹1765.29,₹1929.72,91,Bull Trend | Weekly Bull | RSI 53
FCL,₹41.98,-2.1%,5/10,50,BULL,0%,+48.8%,Trend Following,₹37.58,₹50.78,1136,Bull Trend | Weekly Bull | RSI 50
SUZLON,₹57.70,-0.4%,5/10,54,BULL,0%,+8.5%,Trend Following,₹55.08,₹62.94,1908,Bull Trend | Weekly Bull | RSI 54
M&M,₹3164.00,+3.2%,5/10,66,BEAR,0%,-3.5%,BB Squeeze,₹3053.75,₹3384.5,45,Weekly Bull | RSI 66 | BB Squeeze
MARKSANS,₹257.62,-2.1%,5/10,56,BULL,0%,+26.7%,Trend Following,₹240.07,₹292.72,284,Bull Trend | Weekly Bull | RSI 56
WHEELS,₹1592.20,+1.6%,5/10,56,BULL,0%,+46.6%,BB Squeeze,₹1463.35,₹1849.9,38,Bull Trend | Weekly Bull | RSI 56
SHILCTECH,₹4541.50,-1.0%,5/10,65,BULL,0%,+9.8%,Trend Following,₹4257.99,₹5108.52,17,Bull Trend | Weekly Bull | RSI 65
JAGSNPHARM,₹224.76,-2.2%,5/10,66,BULL,0%,+10.6%,Trend Following,₹212.8,₹248.68,418,Bull Trend | Weekly Bull | RSI 66
GESHIP,₹1524.80,+1.8%,5/10,70,BULL,0%,+18.1%,Trend Following,₹1442.68,₹1689.04,60,Bull Trend | Weekly Bull | RSI 70
HSCL,₹666.15,+0.5%,5/10,52,BULL,0%,+27.1%,Trend Following,₹616.36,₹765.73,100,Bull Trend | Weekly Bull | RSI 52
GOLDIAM,₹462.50,-0.4%,5/10,52,BULL,0%,+23.2%,Trend Following,₹424.83,₹537.84,132,Bull Trend | Weekly Bull | RSI 52
JSWENERGY,₹580.60,+1.1%,5/10,58,BULL,0%,+11.0%,BB Squeeze,₹557.35,₹627.1,215,Bull Trend | Weekly Bull | RSI 58
JAYBARMARU,₹163.80,+2.5%,5/10,64,BULL,0%,+61.3%,Trend Following,₹147.31,₹196.78,303,Bull Trend | Weekly Bull | RSI 64
MMTC,₹70.49,-2.2%,5/10,47,BULL,0%,+8.5%,EMA Pullback,₹64.96,₹81.55,904,Bull Trend | Weekly Bull | RSI 47
